T1,T1,A,QUETIGNY Centre,13369548
T1,T1,R,DIJON Gare,13369548
T2,T2,A,Valmy,13369548
T2,T2,R,CHENOVE Centre,13369548
3,L3,A,Fontaine dOuche,13369548
3,L3,R,Epirey Cap Nord,13369548
4,L4,A,CHENOVE Centre Commercial,13369548
4,L4,R,Nation,13369548
5,L5,A,TALANT Dullin,13369548
5,L5,R,Université,13369548
6,L6,A,Toison dOr / Zénith,13369548
6,L6,R,LONGVIC,13369548
7,L7,A,QUETIGNY Europe,13369548
7,L7,R,CHEVIGNY,13369548
C,Corol,A,Marmuzots,13382451
C,Corol,R,Fontaine dOuche,13382451
DIV,City,A,République,13369395
DIV,City,R,Darcy,13369395
10,10,A,TALANT Citadelle,6710988
10,10,R,FONTAINE Centre Commercial,6710988
11,11,A,Parc de la Colombière,6710988
11,11,R,SAINT-APOLLINAIRE Val Sully,6710988
12,12,A,Chicago,6710988
12,12,R,PLOMBIERES,6710988
13,13,A,Motte Giron,6710988
13,13,R,FONTAINE Village,6710988
14,14,A,MARSANNAY Charon,6710988
14,14,R,Sainte-Anne,6710988
15,15,A,Montagne de Larrey,6710988
15,15,R,PERRIGNY,6710988
16,16,A,QUETIGNY allées Cavalières,6710988
16,16,R,CRIMOLOIS,6710988
17,17,A,Collège Clos de Pouilly,6710988
17,17,R,AHUY,6710988
18,18,A,LONGVIC Carmélites,6710988
18,18,R,Darcy,6710988
19,19,A,St-Apollinaire Pré Thomas,6710988
19,19,R,Parc des Sports,6710988
20,20,A,Dubois,6710988
20,20,R,HAUTEVILLE,6710988
21,21,A,BRETENIERE,6710988
21,21,R,LONGVIC Centre,6710988
22,22,A,FENAY,6710988
22,22,R,LONGVIC Centre,6710988
23,23,A,CHENOVE Vieux Bourg,6710988
23,23,R,Les Ateliers,6710988
30,Proxi 30,A,Grand Marché,13395456
30,Proxi 30,R,BRESSEY,13395456
31,Proxi 31,A,Grand Marché,13395456
31,Proxi 31,R,MAGNY,13395456
32,Proxi 32,A,Piscine Olympique,13395456
32,Proxi 32,R,Complexe Funéraire,13395456
33,Proxi 33,A,FLAVIGNEROT,13421568
33,Proxi 33,R,Monge,13421568
EXP,Express,A,Gare SNCF,13395456
EXP,Express,R,BA 102,13395456
40,Flexo 40,A,Toison dOr,13395456
40,Flexo 40,R,République,13395456
41,Flexo 41,A,Chevigny ZI,13395456
41,Flexo 41,R,Grand Marché,13395456
